key,zh-TW,en,th,de,es
102803,特性增強藥劑,Force Booster,,,
12202,力量料理,Steamed Tongue,,,
12203,敏捷料理,Steamed Scorpion,,,
12207,體力料理,Stew Of Immortality,,,
12204,智力料理,Dragon Breath Cocktail,,,
12205,靈巧料理,Hwergelmir's Tonic,,,
12206,幸運料理,Cooked Nine Tail's Tails,,,
14616,力量棒棒條,STR Biscuit Stick,,,
14618,敏捷棒棒條,AGI Biscuit Stick,,,
14617,體力棒棒條,VIT Biscuit Stick,,,
14619,智力棒棒條,INT Biscuit Stick,,,
14620,靈巧棒棒條,DEX Biscuit Stick,,,
14621,幸運棒棒條,LUK Biscuit Stick,,,
14886,終極料理,[Egg] Ultimate Cook,,,
12883,萬能年糕,Almighty,,,
100098,活力激發劑,,,,
12429,烤野豬,Savage BBQ,,,
12433,捕蟲藥草煎,Drosera Herb Stew,,,
12431,米洛斯燒肉,Minor Brisket,,,
12430,狼血雞尾酒,Warg Blood Cocktail,,,
12432,小雪獸冰茶,Siroma Icetea,,,
12434,畢帝特龍尾麵,Petite Tail Noodles,,,
683,艾草,Herb of Incantation,,,
682,雄黃酒,Distilled Fighting Spirit,,,
14601,戰神蒂爾之祝福,Blessing Of Tyr,,,
100232,紅色藥草活化液,Red Herb Activator,,,
100233,藍色藥草活化液,Blue Herb Activator,,,
12404,活性化藥水,Energizing Potion,,,
12418,揮擊藥水,Full SwingK,,,
12419,魔力藥水,Mana +,,,
12796,紅色狂暴藥水,Red Booster,,,
14766,魔幻香水,Limit Power Booster,,,
22511,潘利爾符咒,Fenrir's Power Scroll,,,
23475,極限藥水,Infinity Drink,,,
14536,研磨劑,Abrasive,,,
100293,齊爾-D-01卷軸,,,,
777777,秒7肯貝特,,,,
900001,攻速濃縮汁,,,,
900002,艾伊瓦茲盧恩石,,,,
12791,戰鬥藥,Combat Pill,,,
12792,高級戰鬥藥,Advance Combat Pill,,,
14586,跳跳糖,Sparkling Candy,,,
12596,魔法糖果,Magic Candy,,,
645,集中藥水,Concentration Potion,,,
656,覺醒藥水,Awakening Potion,,,
657,波瑟克藥水,Berserk Potion,,,
12424,HP增加藥水(大),HP Increase Potion (Large),,,
12427,SP增加藥水(大),SP Increase Potion (Large),,,
12274,仙丹,Gold Pill 1,,,
12436,維他丸500,Vitata500,,,
14600,智囊藥水,Mental Potion,,,
14602,塔奧群卡卷軸,Tao Gunka Scroll,,,
12659,變身卷軸(幽靈弓箭手),Transformation Scroll (Raydric Archer),,,
12660,變身卷軸(森林妖精),Transformation Scroll (Mavka),,,
22752,變身卷軸(蓋俄斯提),Transformation Scroll (Gazeti),,,
22753,變身卷軸(犬妖弓箭手),Transformation Scroll (Kobold Archer),,,
12661,變身卷軸(馬爾杜克),Transformation Scroll(Marduk),,,
12662,變身卷軸(惡耗女妖),Transformation Scroll (Banshee),,,
22754,變身卷軸(行妖術者),Transformation Scroll (Necromancer),,,
22755,變身卷軸(風魔巫師),Transformation Scroll (Wind Ghost),,,
