key,zh-TW,en,th,de,es
SM_BASH,狂擊,Bash,,,
KN_PIERCE,連刺攻擊,Pierce,,,
KN_BRANDISHSPEAR,騎乘攻擊,Brandish Spear,,,
MS_BOWLINGBASH,怪物互擊,Bowling Bash,,,
LK_SPIRALPIERCE,螺旋擊刺,Spiral Pierce,,,
CR_HOLYCROSS,聖十字攻擊,Holy Cross,,,
CR_GRANDCROSS,聖十字審判,Grand Cross,,,
CR_SHIELDBOOMERANG,迴旋盾擊,Shield Boomerang,,,
PA_SHIELDCHAIN,連續盾擊,Shield Chain,,,
LG_CANNONSPEAR,加農砲攻擊,Cannon Spear,,,
PA_SACRIFICE,捨命攻擊,Sacrifice,,,
AS_SONICBLOW,音速投擲,Sonic Blow,,,
AS_GRIMTOOTH,無影之牙,Grim Tooth,,,
AS_SPLASHER,毒性感染,Splasher,,,
ASC_BREAKER,心靈震波,Breaker,,,
ASC_METEORASSAULT,黑暗瞬間,Meteor Assault,,,
RG_BACKSTAP,背刺,Backstap,,,
RG_RAID,潛擊,Raid,,,
SC_TRIANGLESHOT,三角射擊,Triangle Shot,,,
AC_DOUBLE,二連矢,Double,,,
HT_BLITZBEAT,閃電衝擊,Blitz Beat,,,
HT_LANDMINE,地雷陷阱,Land Mine,,,
HT_CLAYMORETRAP,爆散陷阱,Claymore Trap,,,
HT_BLASTMIN,定時爆炸陷阱,Blast Min,,,
SN_SHARPSHOOTING,銳利射擊,Sharp Shooting,,,
BA_MUSICALSTRIKE,樂器攻擊/纏箭投擲,Musical Strike,,,
CG_ARROWVULCAN,奧義箭亂舞,Arrow Vulcan,,,
MO_TRIPLEATTACK,六合拳,Triple Attack,,,
MO_CHAINCOMBO,連環全身掌,Chain Combo,,,
MO_COMBOFINISH,猛龍誇強,Combo Finish,,,
CH_TIGERFIST,伏虎拳,Tiger Fist,,,
CH_CHAINCRUSH,氣絕崩擊,Chain Crush,,,
MO_FINGEROFFENSIVE,彈指神通,Finger Offensive,,,
MO_EXTREMITYFIST,阿修羅霸凰拳,Extremity Fist,,,
PR_MAGNUS,十字驅魔攻擊,Magnus,,,
PR_MAGNUS(ex),十字驅魔攻擊(對暗不死惡魔),Magnus (ElementRace),,,
AB_DUPLELIGHT(2),二道聖光(魔法),Duple Light (Magic),,,
AB_DUPLELIGHT(1),二道聖光(物理),Duple Light (Physical),,,
MC_CARTREVOLUTION,手推車攻擊,Cart Revolution,,,
MC_MAMMONITE,金錢攻擊,Mammonite,,,
AM_ACIDTERROR,強酸攻擊,Acid Terror,,,
NC_AXETORNADO,戰斧颶風,Axe Tornado,,,
NC_AXEBOOMERANG,迴旋斧,Axe Boomerang,,,
NC_POWERSWING,揮斧重擊,Power Swing,,,
CR_ACIDDEMONSTRATION,強酸火煙瓶投擲,Acid Demonstration,,,
WZ_EARTHSPIKE,地震術,Earth Spike,,,
MG_FIREBALL,火球術,Fire Ball,,,
WZ_HEAVENDRIVE,崩裂術,Heaven Drive,,,
MG_THUNDERSTORM,雷爆術,Thunder Storm,,,
WZ_JUPITEL,雷鳴術,Jupitel,,,
WZ_METEOR,隕石術,Meteor,,,
WZ_VERMILION,怒雷強擊,Vermilion,,,
WZ_STORMGUST,暴風雪,Storm Gust,,,
HW_NAPALMVULCAN,念力連擊,Napalmvulcan,,,
HW_GRAVITATION,重力原野,Gravitation,,,
SO_SPELLFIST,魔力拳,Spell Fist,,,
