key,zh-TW,en
JT_SWORDMAN,劍士,Swordsman
JT_MAGICIAN,法師,Magician
JT_ARCHER,弓箭手,Archer
JT_ACOLYTE,服事,Acolyte
JT_MERCHANT,商人,Merchant
JT_THIEF,盜賊,Thief
JT_GUNSLINGER,神槍手,Gunslinger
JT_NINJA,忍者,Ninja
JT_KNIGHT,騎士,Knight
JT_PRIEST,祭司,Priest
JT_WIZARD,巫師,Wizard
JT_BLACKSMITH,鐵匠,Blacksmith
JT_HUNTER,獵人,Hunter
JT_ASSASSIN,刺客,Assassin
JT_CRUSADER,十字軍,Crusader
JT_MONK,武僧,Monk
JT_SAGE,賢者,Sage
JT_ROGUE,流氓,Rogue
JT_ALCHEMIST,煉金,Alchemist
JT_BARD,詩人,Bard
JT_DANCER,舞孃,Dancer
JT_REBELLION,反叛者,Rebellion
JT_KAGEROU,影狼,Kagerou
JT_OBORO,朧,Oboro
JT_SUPERNOVICE,超級初心者,Super Novice
JT_SUPERNOVICE2,超級初心者(突破),Super Novice (Extended)
JT_RUNE_KNIGHT,盧恩騎士,Rune Knight
JT_DRAGON_KNIGHT,盧恩龍爵,Dragon Knight
JT_ROYAL_GUARD,皇家禁衛軍,Royal Guard
JT_IMPERIAL_GUARD,帝國聖衛軍,Imperial Guard
JT_WARLOCK,咒術士,Warlock
JT_ARCH_MAGE,禁咒魔導士,Arch Mage
JT_SORCERER,妖術師,Sorcerer
JT_ELEMENTAL_MASTER,元素支配者,Elemental Master
JT_RANGER,遊俠,Ranger
JT_WINDHAWK,風鷹狩獵者,Windhawk
JT_MINSTREL,宮廷樂師,Minstrel
JT_TROUBADOUR,天籟頌者,Troubadour
JT_WANDERER,流浪舞者,Wanderer
JT_TROUVERE,樂之舞靈,Trouvere
JT_ARCHBISHOP,大主教,Archbishop
JT_CARDINAL,樞機主教,Cardinal
JT_SURA,修羅,Sura
JT_INQUISITOR,聖裁者,Inquisitor
JT_MECHANIC,機械工匠,Mechanic
JT_MEISTER,機甲神匠,Meister
JT_GENETIC,基因學者,Genetic
JT_BIOLO,生命締造者,Biolo
JT_GUILLOTINE_CROSS,十字斬首者,Guillotine Cross
JT_SHADOW_CROSS,十字影武,Shadow Cross
JT_SHADOW_CHASER,魅影追蹤者,Shadow Chaser
JT_ABYSS_CHASER,深淵追跡者,Abyss Chaser
JT_SHINKIRO,流浪忍者(男),Shinkiro
JT_SHIRANUI,疾風忍者(女),Shiranui
JT_NIGHT_WATCH,夜行使,Night Watch
JT_TAEKWON,跆拳,Taekwon
JT_STAR,拳聖,Star Gladiator
JT_STAR_EMPEROR,拳皇,Star Emperor
JT_LINKER,悟靈士,Soul Linker
JT_SOUL_ASCETIC,獵靈士,Soul Ascetic
JT_SOUL_REAPER,契靈士,Soul Reaper
JT_DO_SUMMONER,召喚師,Summoner
JT_SPIRIT_HANDLER,魂靈師,Spirit Handler
JT_HYPER_NOVICE,終極初學者,Hyper Novice
