SKID常數,技能名稱
ABC_ABYSS_DAGGER,深淵匕首
ABC_ABYSS_SLAYER,深淵殺手
ABC_ABYSS_SQUARE,深淵墳場
ABC_ABYSS_STRIKE,終結深淵攻擊
ABC_CHAIN_REACTION_SHOT,連鎖射擊
ABC_DAGGER_AND_BOW_M,短劍&弓弩精熟
ABC_DEFT_STAB,靈巧刺擊
ABC_FRENZY_SHOT,狂暴射擊
ABC_FROM_THE_ABYSS,萬丈深淵
ABC_MAGIC_SWORD_M,魔劍精熟
ABC_STRIP_SHADOW,卸除影子
ABC_UNLUCKY_RUSH,不幸衝擊
AB_ADORAMUS,謳歌
AB_ANCILLA,安希拉
AB_CANTO,純白百合花
AB_CHEAL,燦爛聖光
AB_CLEARANCE,解除
AB_CLEMENTIA,慈悲術
AB_CONVENIO,集結
AB_DUPLELIGHT,二道聖光
AB_EPICLESIS,聖靈降臨祈禱
AB_EUCHARISTICA,感恩祈禱
AB_EXPIATIO,贖罪
AB_HIGHNESSHEAL,高階治癒術
AB_JUDEX,審判
AB_LAUDAAGNUS,羔羊歌頌
AB_LAUDARAMUS,折枝讚頌
AB_OFFERTORIUM,奉獻頌
AB_ORATIO,祈禱文
AB_PRAEFATIO,感恩歌
AB_RENOVATIO,淨化
AB_SECRAMENT,聖典
AB_SILENTIUM,靜寂
AB_VITUPERATUM,天罰
AC_CHARGEARROW,衝鋒箭
AC_CONCENTRATION,心神凝聚
AC_DOUBLE,二連矢
AC_MAKINGARROW,製作箭
AC_OWL,鶚梟之眼
AC_SHOWER,箭雨
AC_VULTURE,蒼鷹之眼
AG_ALL_BLOOM,萬紫千紅
AG_ASTRAL_STRIKE,星際突襲
AG_CLIMAX,魔力巔峰
AG_CRIMSON_ARROW,豔紅魔矢
AG_CRYSTAL_IMPACT,水晶波爆
AG_DEADLY_PROJECTION,致命放射
AG_DESTRUCTIVE_HURRICANE,毀滅颶風
AG_FLORAL_FLARE_ROAD,焰火之徑
AG_FROZEN_SLASH,冰刃斬
AG_MYSTERY_ILLUSION,神秘幻滅
AG_RAIN_OF_CRYSTAL,冰晶飛瀑
AG_ROCK_DOWN,巨石降臨
AG_SOUL_VC_STRIKE,靈魂連擊
AG_STORM_CANNON,暴風加農砲
AG_STRANTUM_TREMOR,地層震動
AG_TORNADO_STORM,龍捲風暴
AG_TWOHANDSTAFF,雙手杖使用熟練度
AG_VIOLENT_QUAKE,震裂術
ALL_ANGEL_PROTECT,感謝您!
ALL_BUYING_STORE,開設採購商店
ALL_CATCRY,怪獸的咆哮
ALL_DREAM_SUMMERNIGHT,一個夏夜之夢
ALL_FULL_THROTTLE,烈火戰車
ALL_GUARDIAN_RECALL,Guardian Recall
ALL_INCCARRY,負重量上升R
ALL_NIFLHEIM_RECALL,前往尼芙菲姆!
ALL_ODINS_POWER,Odins Power
ALL_PARTYFLEE,吹吧! 花風!!
ALL_PRONTERA_RECALL,返回普隆德拉
ALL_RESURRECTION,復活術
AL_ANGELUS,天使之障壁
AL_BLESSING,天使之賜福
AL_CRUCIS,天使之光
AL_CURE,治療術
AL_DECAGI,緩速術
AL_DEMONBANE,天使之擊
AL_DP,天使之護
AL_HEAL,治癒術
AL_HOLYLIGHT,神聖之光
AL_HOLYWATER,天使之淚
AL_INCAGI,加速術
AL_PNEUMA,光之障壁
AL_RUWACH,光獵
AL_TELEPORT,瞬間移動
AL_WARP,傳送之陣
AM_ACIDTERROR,強酸攻擊
AM_AXEMASTERY,斧頭和單手劍使用熟練度
AM_BERSERKPITCHER,菠色克投擲
AM_BIOETHICS,生命倫理
AM_BIOTECHNOLOGY,生命工學研究
AM_CALLHOMUN,生命體召喚
AM_CANNIBALIZE,生物調撥
AM_CP_ARMOR,化學鎧甲保護
AM_CP_HELM,化學頭盔保護
AM_CP_SHIELD,化學盾牌保護
AM_CP_WEAPON,化學武器保護
AM_CREATECREATURE,生命體
AM_CULTIVATION,培養
AM_DEMONSTRATION,火煙瓶投擲
AM_DRILLMASTER,攻擊力訓練
AM_FLAMECONTROL,火焰控制
AM_HEALHOMUN,治癒生命體
AM_LEARNINGPOTION,知識藥水
AM_PHARMACY,配藥
AM_POTIONPITCHER,藥水投擲
AM_REST,安息
AM_RESURRECTHOMUN,復活生命體
AM_SPHEREMINE,氣泡蟲召喚
AM_TWILIGHT1,寬廣配藥1
AM_TWILIGHT2,寬廣配藥2
AM_TWILIGHT3,寬廣配藥3
ASC_BREAKER,心靈震波
ASC_CDP,毒液製作
ASC_EDP,致命塗毒
ASC_KATAR,高階拳刃修練
ASC_METEORASSAULT,黑暗瞬間
AS_CLOAKING,偽裝
AS_ENCHANTPOISON,塗毒
AS_GRIMTOOTH,無影之牙
AS_KATAR,拳刃修練
AS_LEFT,左手修練
AS_POISONREACT,毒性反彈
AS_RIGHT,右手修練
AS_SONICACCEL,超音速投擲
AS_SONICBLOW,音速投擲
AS_SPLASHER,毒性感染
AS_VENOMDUST,病毒散播
AS_VENOMKNIFE,毒刃
All_EVENT_20TH_ANNIVERSARY,RO 20週年鞭炮
BA_APPLEIDUN,伊登的蘋果
BA_ASSASSINCROSS,刺客的黃昏
BA_DISSONANCE,不諧和音
BA_FROSTJOKE,冷笑話
BA_MUSICALLESSON,操控樂器
BA_MUSICALSTRIKE,樂器攻擊
BA_PANGVOICE,陣痛之聲
BA_POEMBRAGI,布萊奇之詩
BA_WHISTLE,吹口哨
BD_ADAPTATION,臨機應變
BD_DRUMBATTLEFIELD,戰鼓震天
BD_ENCORE,安可
BD_ETERNALCHAOS,永遠的混沌
BD_INTOABYSS,觸媒之所
BD_LULLABY,搖籃曲
BD_RAGNAROK,仙境傳說
BD_RICHMANKIM,經驗值倍增
BD_RINGNIBELUNGEN,尼貝隆根之戒指
BD_ROKISWEIL,洛奇的悲鳴
BD_SIEGFRIED,不死神齊格弗里德
BO_ACIDIFIED_ZONE_FIRE,強酸禁地
BO_ACIDIFIED_ZONE_GROUND,強酸禁地
BO_ACIDIFIED_ZONE_WATER,強酸禁地
BO_ACIDIFIED_ZONE_WIND,強酸禁地
BO_ADVANCE_PROTECTION,全影化學保護
BO_BIONICS_M,仿生精熟
BO_BIONIC_PHARMACY,仿生配藥
BO_CREEPER,召喚爬行者
BO_EXPLOSIVE_POWDER,爆炸炸藥
BO_HELLTREE,召喚地獄樹
BO_MAYHEMIC_THORNS,混亂的荊棘
BO_RESEARCHREPORT,研究報告
BO_THE_WHOLE_PROTECTION,全體化學保護
BO_WOODENWARRIOR,召喚神木戰士
BO_WOODEN_FAIRY,召喚神木妖精
BS_ADRENALINE,速度激發
BS_ADRENALINE2,所有速度激發
BS_AXE,斧頭製作
BS_DAGGER,短劍製作
BS_ENCHANTEDSTONE,屬性石製造
BS_FINDINGORE,尋找礦石
BS_GREED,貪婪
BS_HAMMERFALL,大地之擊
BS_HILTBINDING,武器保有
BS_IRON,鐵製造
BS_KNUCKLE,拳套製作
BS_MACE,鈍器製作
BS_MAXIMIZE,武器值最大化
BS_ORIDEOCON,神之金屬研究
BS_OVERTHRUST,凶砍
BS_REPAIRWEAPON,武器修理
BS_SKINTEMPER,強化火屬性
BS_SPEAR,長矛製作
BS_STEEL,鋼製造
BS_SWORD,單手劍製作
BS_TWOHANDSWORD,雙手劍製作
BS_UNFAIRLYTRICK,詭計的商術
BS_WEAPONPERFECT,無視體型攻擊
BS_WEAPONRESEARCH,武器研究
CD_ARBITRIUM,制裁謳歌
CD_ARGUTUS_TELUM,神聖防護
CD_ARGUTUS_VITA,光耀天命
CD_BENEDICTUM,祝福讚歌
CD_COMPETENTIA,神聖權能
CD_DILECTIO_HEAL,博愛治癒
CD_EFFLIGO,破壞擊
CD_FIDUS_ANIMUS,靈魂忠誠
CD_FRAMEN,聖靈鎮魂
CD_MACE_BOOK_M,鈍器&書籍精熟
CD_MEDIALE_VOTUM,治癒誓言
CD_PETITIO,聖光打擊
