key,zh-TW,en,es,de,th
nav.allsetlist,配置清單,Saved Builds,Configuraciones guardadas,Gespeicherte Builds,บิลด์ที่บันทึกไว้
nav.savecfg,儲存配置,Save Build,Guardar configuración,Build speichern,บันทึกบิลด์
nav.loadcfg,讀取配置檔案,Load Build File,Cargar archivo de configuración,Build-Datei laden,โหลดไฟล์บิลด์
nav.about,關於,About,Acerca de,Über,เกี่ยวกับ
nav.donate,贊助,Donate,Donar,Spenden,สนับสนุน
nav.thanks,協力,Contributors,Colaboradores,Mitwirkende,ผู้ร่วมพัฒนา
nav.updatelog,更新紀錄,Update Log,Registro de actualizaciones,Änderungsprotokoll,บันทึกการอัปเดต
weaponr,主手,Main Hand,Mano principal,Haupthand,มือหลัก
weaponl,副手,Off Hand,Mano secundaria,Nebenhand,มือรอง
helm,頭飾,Headgear,Accesorio de cabeza,Kopfausrüstung,เครื่องสวมศีรษะ
helm1,頭中,Headgear (Mid),Accesorio de cabeza (medio),Kopfausrüstung (Mitte),เครื่องสวมศีรษะ (กลาง)
helm2,頭下,Headgear (Lower),Accesorio de cabeza (inferior),Kopfausrüstung (Unten),เครื่องสวมศีรษะ (ล่าง)
armor,衣服,Body Armor,Armadura,Rüstung,เกราะ
robe,披肩,Garment,Capa,Umhang,ผ้าคลุม
shoes,靴子,Footgear,Calzado,Schuhe,รองเท้า
acc1,飾品,Accessory,Accesorio,Accessoire,เครื่องประดับ
acc2,飾品,Accessory,Accesorio,Accessoire,เครื่องประดับ
shadow,影子,Shadow Gear,Equipo sombrío,Schattenausrüstung,อุปกรณ์ชาโดว์
costume,服飾,Costume,Traje,Kostüm,คอสตูม
cardset,套卡,Card Set,Conjunto de cartas,Kartenset,ชุดการ์ด
other,自訂,Custom,Personalizado,Benutzerdefiniert,กำหนดเอง
weaponrcard,武器卡片,Weapon Card,Carta de arma,Waffenkarte,การ์ดอาวุธ
weaponlcard,武器卡片,Weapon Card,Carta de arma,Waffenkarte,การ์ดอาวุธ
helmcard,頭飾卡片,Headgear Card,Carta de cabeza,Kopfausrüstungskarte,การ์ดเครื่องสวมศีรษะ
helm1card,頭飾卡片,Headgear Card,Carta de cabeza,Kopfausrüstungskarte,การ์ดเครื่องสวมศีรษะ
helm2card,頭飾卡片,Headgear Card,Carta de cabeza,Kopfausrüstungskarte,การ์ดเครื่องสวมศีรษะ
armorcard,衣服卡片,Armor Card,Carta de armadura,Rüstungskarte,การ์ดเกราะ
robecard,披肩卡片,Garment Card,Carta de capa,Umhangkarte,การ์ดผ้าคลุม
shoescard,靴子卡片,Footgear Card,Carta de calzado,Schuhkarte,การ์ดรองเท้า
acc1card,飾品卡片,Accessory Card,Carta de accesorio,Accessoire-Karte,การ์ดเครื่องประดับ
acc2card,飾品卡片,Accessory Card,Carta de accesorio,Accessoire-Karte,การ์ดเครื่องประดับ
shadowenchant,影子附魔,Shadow Enchant,Encantamiento sombrío,Schattenverzauberung,เอนชานต์ชาโดว์
costumeenchant,服飾附魔,Costume Enchant,Encantamiento de traje,Kostümverzauberung,เอนชานต์คอสตูม
cardset2,套卡,Card Set,Conjunto de cartas,Kartenset,ชุดการ์ด
other2,自訂,Custom,Personalizado,Benutzerdefiniert,กำหนดเอง
pet,寵物,Pet,Mascota,Begleiter,สัตว์เลี้ยง
runetablet,石碑,Rune Tablet,Tableta rúnica,Runentafel,แผ่นรูน
AllStatus,全能力,All Stats,Todos los atributos,Alle Werte,ค่าสถานะทั้งหมด
AllStatus2,所有特性屬性,All Trait Stats,Todos los atributos de rasgo,Alle Eigenschaftswerte,ค่าคุณลักษณะทั้งหมด
RaceAtkPercent,種族 %,Race ATK %,Raza ATK %,Rasse ATK %,เผ่า ATK %
SizeAtkPercent,體型 %,Size ATK %,Tamaño ATK %,Größe ATK %,ขนาด ATK %
LevelAtkPercent,階級 %,Level ATK %,Nivel ATK %,Stufe ATK %,ระดับ ATK %
ElementalAtkPercent,對屬性敵人 %,Element Target %,Objetivo elemental %,Elementziel %,เป้าหมายธาตุ %
WeaponRangedDamagePercent,武器遠傷 %,Weapon Ranged DMG %,Weapon DMG a distancia %,Weapon Fernkampf-DMG %,Weapon DMG ระยะไกล %
MonsterAtkPercent,特定魔物 %,Specific Monster %,Monstruo específico %,Bestimmtes Monster %,มอนสเตอร์เฉพาะ %
HitAtkDamagePercent,命中傷 %,On-Hit DMG %,On-Hit DMG %,On-Hit DMG %,On-Hit DMG %
CriDamagePercent,暴傷 %,Critical DMG %,DMG crítico %,Krit-DMG %,DMG คริติคอล %
MeleeDamagePercent,近傷 %,Melee DMG %,DMG cuerpo a cuerpo %,Nahkampf-DMG %,DMG ระยะประชิด %
RangedDamagePercent,遠傷 %,Ranged DMG %,DMG a distancia %,Fernkampf-DMG %,DMG ระยะไกล %
MeleeDamageDealtIncreasedPercent,近傷耐性減少 %,Melee Resistance Reduction %,Melee Reducción de resistencia %,Melee Resistenzreduktion %,Melee ลดความต้านทาน %
RangedDamageDealtIncreasedPercent,遠傷耐性減少 %,Ranged Resistance Reduction %,Ranged Reducción de resistencia %,Ranged Resistenzreduktion %,Ranged ลดความต้านทาน %
BypassDEFPercent,無視物理防禦 %,Ignore DEF %,Ignorar DEF %,Ignoriere DEF %,มองข้าม DEF %
BypassRESPercent,無視RES %,Ignore RES %,Ignorar RES %,Ignoriere RES %,มองข้าม RES %
RaceMatkPercent,種族 %,Race MATK %,Raza MATK %,Rasse MATK %,เผ่า MATK %
